id,s1,s41,s42,s43,s44,s45,a0,M1,a11012,a11022,a11032,a11042,a11052,a11062,a11072,a11082,a11092,a11102,a11112,a11122,a11132,a11142,a1301,a1302,a1303,a1304,a1305,a1306,a1307,a1308,a1309,a1310,a1311,a1312,a1313,a1314,a1401,a1402,a1403,a1404,a1405,a1406,a1407,a1408,a1409,a1410,a1411,a1412,a1413,a1414,a2,a301,a302,a4,a501,a6,a7a,a7b,a7c,a8a,a11,a1299,a121,a122,a123,a124,a125,a126,a127,a128,a13,a14,a15,a16,a17,a18,a21,a23,a24,a25,M2,a313,a31a,a31b,a69,a69,a71a,a7ab,a72,a75a,a81,b5
88,1,4,7,19,33,60,2015年10月2日,1,52,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1966,49,1,1,1,6,4,1984,50000,64,0,0,0,0,0,0,0,0,1,159,120,4,4,5,2,1,,2012,2009,3.14,2,7,2,5,3,1963,1987,4,500000,1,2
90,1,4,7,19,32,58,2015年10月1日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1977,38,1,1,1,4,4,1993,60000,70,0,0,0,0,0,0,0,0,1,160,120,5,5,4,1,3,2000,,2014,3.29,2,7,5,5,6,,,,,,2
101,1,4,7,14,26,48,2015年10月3日,2,64,31,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1952,63,1,1,1,4,4,1968,45000,84,0,0,0,0,0,0,0,0,1,174,140,3,5,4,5,1,,1995,1995,3.21,4,7,6,4,3,1951,1981,4,36000,5,3
104,1,4,7,20,35,63,2015年9月27日,2,35,64,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1943,72,1,1,1,7,4,1964,28000,54,0,0,1,0,0,0,0,0,0,176,150,2,1,4,4,3,1961,,2001,4.21,2,,,2,3,1952,1979,10,30000,5,2
109,1,4,7,14,26,49,2015年10月1日,2,63,28,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,1956,59,1,1,1,3,3,,16800,45,1,0,0,0,0,0,0,0,0,170,150,3,3,2,2,1,,1986,9997,3.57,2,7,7,1,3,1956,1984,3,8000,5,3
111,1,4,7,18,31,56,2015年10月3日,3,48,27,4,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1968,47,1,1,1,4,4,-2,20000,140,0,1,0,0,0,0,0,0,0,160,120,3,4,4,1,1,,9997,9997,3.5,1,7,7,4,3,1967,1987,3,0,4,2
114,1,4,7,21,37,67,2015年10月7日,2,52,23,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,1966,49,1,1,1,6,4,1984,-3,30,0,0,0,0,0,0,0,0,1,168,120,3,3,3,5,1,,9997,9997,3.71,1,7,7,4,3,1963,1990,6,-3,1,1
117,1,4,7,20,34,61,2015年10月10日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1984,31,1,1,1,13,4,-3,-3,25,0,0,0,0,0,0,0,0,1,170,100,5,5,5,2,3,2015,,2006,3.21,3,7,4,4,1,,,,,,3
118,1,4,7,15,27,51,2015年10月6日,1,45,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1970,45,1,0,3,4,4,-2,30000,10,0,0,0,0,0,0,0,0,1,168,110,4,4,5,1,3,2015,,2014,3.71,2,7,7,4,3,1970,1991,3,5000,1,-8
119,2,4,7,22,38,69,2015年8月29日,1,24,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1993,22,1,1,1,3,4,2005,50000,10,0,0,0,0,0,0,0,0,1,178,176,3,5,4,1,3,2015,,2010,2.93,5,1,6,4,1,,,,,,2
122,1,4,7,20,35,62,2015年10月2日,2,70,47,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1969,46,1,1,3,12,4,1992,100000,70,0,0,0,0,1,0,0,0,0,158,118,4,5,5,2,2,,9997,9997,3,3,7,4,4,6,,,,,,2
123,2,4,7,22,38,69,2015年8月30日,5,61,52,37,32,0,,,,,,,,,,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,,,,,,,,,,2,1925,90,1,1,1,1,,,0,120,0,0,0,0,0,0,0,1,0,152,135,3,1,3,1,1,,1942,1942,4.14,1,2,7,4,7,,,,,,2
124,1,4,7,21,37,66,2015年9月23日,1,62,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1950,65,1,1,1,13,4,2008,60000,100,0,1,1,0,0,0,0,0,0,178,140,3,3,5,2,1,,9997,9997,2.79,4,4,3,4,3,1952,1978,9,60000,5,3
126,1,4,7,21,37,66,2015年9月26日,5,67,67,46,14,7,,,,,,,,,,1,1,1,1,1,,,,,,,,,,2,2,2,2,2,,,,,,,,,,2,1978,37,1,1,2,9,4,1999,0,128,0,0,0,0,0,0,0,0,1,165,114,5,4,4,2,3,2005,,2005,2.93,2,7,3,5,3,1969,2002,6,200000,1,1
130,1,4,7,18,31,56,2015年10月5日,2,52,10,,,,,,,,,,,,,4,4,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1973,42,1,1,1,3,2,,36000,15,0,0,0,0,0,0,0,0,1,160,105,3,3,4,1,3,2015,,2015,3.43,2,6,6,4,3,1970,1998,3,0,3,3
131,1,4,7,14,25,46,2015年9月25日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1934,81,1,1,1,12,4,1955,48000,56,0,1,0,0,0,0,0,0,0,165,118,1,2,4,5,1,,1958,1958,3.29,3,5,5,5,7,,,,,,3
135,1,4,7,20,35,63,2015年10月17日,2,71,46,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,1943,72,1,1,1,6,4,1964,60000,54,0,0,0,0,0,0,0,0,1,162,138,3,4,3,5,2,,9997,9997,2.93,4,1,1,4,3,1944,1967,6,40000,5,2
143,1,4,7,15,27,50,2015年10月1日,3,79,57,31,,,,,,,,,,,,4,1,-8,,,,,,,,,,,,2,1,2,,,,,,,,,,,,1,1958,57,1,1,1,6,4,1976,30000,57,0,0,0,0,0,1,0,0,0,172,130,4,4,5,5,2,,-2,9997,3.86,2,4,5,3,3,1958,1983,6,20000,5,2
146,1,4,7,22,38,68,2015年8月31日,2,58,56,,,,,,,,,,,,,4,4,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1987,28,1,1,1,12,4,2010,30000,120,0,0,0,0,0,0,0,0,1,188,200,1,4,2,2,3,2010,,2015,3.71,2,5,4,3,1,,,,,,2
147,1,4,7,21,37,67,2015年9月28日,2,88,61,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2,1954,61,1,1,3,6,4,1992,70000,88,0,0,0,0,0,0,0,1,0,150,100,4,3,5,5,2,,9997,9997,3,4,7,3,4,3,1954,1982,6,36000,5,2
155,1,4,7,16,29,53,2015年10月17日,3,60,33,3,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,2,2,,,,,,,,,,,,2,1982,33,1,1,1,13,4,2008,60000,93,0,0,0,0,0,1,0,0,0,162,104,4,5,5,2,2,,2005,2005,3.64,3,5,5,4,3,1982,2011,12,60000,1,3
157,1,4,7,18,31,56,2015年10月5日,3,35,6,3,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,2,2,,,,,,,,,,,,1,1981,34,1,1,1,6,4,1998,60000,30,0,1,0,0,0,0,0,0,0,170,150,5,5,5,1,3,2003,,2003,3.07,4,3,3,3,3,1980,2010,4,40000,1,3
158,1,4,7,22,38,68,2015年8月31日,1,49,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1975,40,1,1,2,13,4,1999,0,65,0,0,0,0,0,0,0,0,1,160,160,4,3,4,2,2,,1999,2015,3.21,3,5,5,4,3,1966,2015,12,-3,1,-8
160,1,4,7,19,33,60,2015年10月2日,2,54,33,,,,,,,,,,,,,1,4,,,,,,,,,,,,,2,1,,,,,,,,,,,,,1,1957,58,1,1,1,4,4,1973,24000,103,0,1,0,0,0,0,0,0,0,173,160,4,5,5,2,1,,1992,1995,3.07,1,1,5,3,3,1961,1981,4,24000,5,4
164,1,4,7,18,31,56,2015年10月3日,4,68,35,35,6,,,,,,,,,,,1,1,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,2,1952,63,1,1,1,4,4,-2,25000,60,0,1,0,0,0,0,0,0,0,158,170,2,3,4,2,1,,1976,1976,3.93,1,7,7,4,3,1947,1978,7,40000,1,3
165,1,4,7,20,35,62,2015年10月1日,2,55,50,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1994,21,1,1,1,5,4,-2,30000,50,0,0,0,0,0,0,0,1,0,172,110,3,5,5,2,1,,9997,9996,3.14,3,,,5,1,,,,,,2
170,1,4,7,19,32,58,2015年10月17日,7,78,74,50,50,27,25,1,,,,,,,,4,4,4,4,4,4,4,,,,,,,,1,1,1,1,1,1,1,,,,,,,,2,1990,25,1,1,1,12,4,2014,-2,90,0,0,0,0,0,0,0,0,1,167,120,5,5,4,1,3,2015,,2015,3.29,3,7,3,4,1,,,,,,2
174,1,4,7,21,37,66,2015年9月23日,3,63,63,35,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,1982,33,4,0,3,9,4,2002,70000,102,0,0,0,0,0,1,0,0,0,165,138,3,4,2,5,1,,9997,9997,3.64,4,7,3,4,3,1980,2008,5,50000,1,2
177,1,4,7,15,27,50,2015年10月2日,3,55,55,31,,,,,,,,,,,,1,1,1,,,,,,,,,,,,2,2,2,,,,,,,,,,,,1,1941,74,1,1,1,7,4,1958,40000,69.199997,0,1,0,0,0,0,0,0,0,172,140,4,4,4,5,3,-2,,9997,3.43,2,2,2,4,7,,,,,,3
178,1,4,7,20,34,61,2015年10月17日,1,41,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1973,42,3,1,1,13,4,2008,150000,62,0,0,0,0,0,0,0,0,1,170,140,4,3,4,5,1,,2010,2010,2.93,4,3,3,4,3,1974,2000,13,50000,1,2
184,1,4,7,20,35,63,2015年10月17日,3,38,11,7,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,2,2,,,,,,,,,,,,2,1977,38,1,1,1,10,4,2000,100000,30,0,0,0,0,0,0,0,0,1,160,135,4,4,4,2,3,1997,,1997,2.79,4,2,3,4,3,1977,2004,10,100000,1,2
188,1,4,7,21,37,66,2015年9月24日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1968,47,1,1,1,4,4,1981,110000,8,0,0,0,0,0,0,0,0,1,163,130,3,3,2,5,3,2003,,2003,2.93,1,3,2,4,3,1972,1995,4,0,5,2
192,1,4,7,20,35,63,2015年10月17日,1,61,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,1953,62,1,1,1,3,2,,24000,10,0,0,0,0,0,0,0,0,1,175,140,3,3,5,1,3,2003,,2003,4.14,1,,,4,3,1955,1979,3,0,5,2
193,1,4,7,14,26,49,2015年10月1日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1990,25,4,0,3,10,4,2013,80000,60,1,0,0,0,0,0,0,0,0,175,170,4,5,5,2,2,,9997,9997,3.71,3,7,4,4,1,,,,,,-8
194,1,4,7,19,32,59,2015年10月24日,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1987,28,2,1,1,4,4,-2,50000,8,0,0,0,0,0,0,0,0,1,161,110,5,5,5,1,3,2007,,2015,3.71,3,7,7,3,1,,,,,,2
196,1,4,7,20,35,62,2015年10月1日,2,52,25,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,1962,53,1,1,1,7,4,1988,30000,79,0,0,0,0,0,0,0,0,1,156,100,3,5,4,2,2,,1996,1998,3.36,2,3,6,4,3,1962,1988,13,100000,5,2
197,1,4,7,16,29,53,2015年9月27日,1,19,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,1996,19,1,0,1,9,1,2014,0,50,0,0,0,0,0,0,0,0,1,160,112,3,4,4,1,3,2014,,2014,2.71,2,6,3,4,1,,,,,,3
202,1,4,7,19,32,59,2015年10月17日,2,44,11,,,,,,,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,1,1972,43,1,1,1,12,4,1995,180000,110,0,1,0,0,0,0,0,0,0,165,130,5,4,5,2,3,2000,,2000,3.14,4,7,7,4,3,1971,2000,10,0,5,3
205,1,4,7,19,32,59,2015年10月2日,3,61,34,35,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1954,61,1,1,1,4,4,1970,24000,97,0,0,0,0,0,0,0,0,1,170,156,5,5,5,5,3,9996,,9996,2.79,2,6,3,4,3,1954,1979,4,20000,5,-8
